Order #,Sent Date,Menu Item,Menu Group,Menu,Sales Category,Net Price,Qty,Void?,source_file,sent_date,sent_time,year,month,month_name,hour_of_day,day_of_week_num,day_of_week,is_weekend
100000,1/1/24 2:12 PM,Cheese Bread,Breads,Main Menu,Food,4.5,3.0,False,synthetic_2024_01.csv,2024-01-01,14:12:00,2024,1,January,14,0,Monday,False
100001,1/1/24 10:45 AM,Cheese Bread,Breads,Main Menu,Food,4.73,3.0,False,synthetic_2024_01.csv,2024-01-01,10:45:00,2024,1,January,10,0,Monday,False
100002,1/1/24 2:10 PM,Cheese Bread,Breads,Main Menu,Food,4.73,2.0,False,synthetic_2024_01.csv,2024-01-01,14:10:00,2024,1,January,14,0,Monday,False
100003,1/1/24 12:49 PM,Cheese Bread,Breads,Main Menu,Food,4.5,2.0,False,synthetic_2024_01.csv,2024-01-01,12:49:00,2024,1,January,12,0,Monday,False
100004,1/1/24 8:51 AM,Cheese Bread,Breads,Main Menu,Food,4.27,2.0,False,synthetic_2024_01.csv,2024-01-01,08:51:00,2024,1,January,8,0,Monday,False
100005,1/1/24 9:45 AM,Cheese Bread,Breads,Main Menu,Food,4.5,1.0,False,synthetic_2024_01.csv,2024-01-01,09:45:00,2024,1,January,9,0,Monday,False
100006,1/1/24 10:45 AM,Cheese Bread,Breads,Main Menu,Food,4.5,3.0,False,synthetic_2024_01.csv,2024-01-01,10:45:00,2024,1,January,10,0,Monday,False
100007,1/1/24 12:55 PM,Corn Cake,Breads,Main Menu,Food,4.99,1.0,False,synthetic_2024_01.csv,2024-01-01,12:55:00,2024,1,January,12,0,Monday,False
100008,1/1/24 9:19 AM,Corn Cake,Breads,Main Menu,Food,4.99,2.0,False,synthetic_2024_01.csv,2024-01-01,09:19:00,2024,1,January,9,0,Monday,False
100009,1/1/24 11:41 AM,Corn Cake,Breads,Main Menu,Food,5.25,1.0,False,synthetic_2024_01.csv,2024-01-01,11:41:00,2024,1,January,11,0,Monday,False
100010,1/1/24 1:40 PM,Corn Cake,Breads,Main Menu,Food,5.25,2.0,False,synthetic_2024_01.csv,2024-01-01,13:40:00,2024,1,January,13,0,Monday,False
100011,1/1/24 1:46 PM,Corn Cake,Breads,Main Menu,Food,4.99,3.0,False,synthetic_2024_01.csv,2024-01-01,13:46:00,2024,1,January,13,0,Monday,False
100012,1/1/24 12:23 PM,Corn Cake,Breads,Main Menu,Food,5.25,3.0,False,synthetic_2024_01.csv,2024-01-01,12:23:00,2024,1,January,12,0,Monday,False
100013,1/1/24 1:48 PM,Corn Cake,Breads,Main Menu,Food,5.25,1.0,False,synthetic_2024_01.csv,2024-01-01,13:48:00,2024,1,January,13,0,Monday,False
100014,1/1/24 10:33 AM,Chicken Pastry,Pastries,Main Menu,Food,6.75,3.0,False,synthetic_2024_01.csv,2024-01-01,10:33:00,2024,1,January,10,0,Monday,False
100015,1/1/24 3:08 PM,Chicken Pastry,Pastries,Main Menu,Food,6.75,1.0,False,synthetic_2024_01.csv,2024-01-01,15:08:00,2024,1,January,15,0,Monday,False
100016,1/1/24 6:04 AM,Chicken Pastry,Pastries,Main Menu,Food,6.41,2.0,False,synthetic_2024_01.csv,2024-01-01,06:04:00,2024,1,January,6,0,Monday,False
100017,1/1/24 1:33 PM,Chicken Pastry,Pastries,Main Menu,Food,6.75,2.0,False,synthetic_2024_01.csv,2024-01-01,13:33:00,2024,1,January,13,0,Monday,False
100018,1/1/24 10:58 AM,Chicken Pastry,Pastries,Main Menu,Food,6.75,1.0,False,synthetic_2024_01.csv,2024-01-01,10:58:00,2024,1,January,10,0,Monday,False
100019,1/1/24 8:51 AM,Chicken Pastry,Pastries,Main Menu,Food,7.09,3.0,False,synthetic_2024_01.csv,2024-01-01,08:51:00,2024,1,January,8,0,Monday,False
100020,1/1/24 10:39 AM,Beef Pastry,Pastries,Main Menu,Food,7.3,2.0,False,synthetic_2024_01.csv,2024-01-01,10:39:00,2024,1,January,10,0,Monday,False
100021,1/1/24 10:25 AM,Beef Pastry,Pastries,Main Menu,Food,6.6,2.0,False,synthetic_2024_01.csv,2024-01-01,10:25:00,2024,1,January,10,0,Monday,False
100022,1/1/24 10:01 AM,Beef Pastry,Pastries,Main Menu,Food,6.6,2.0,False,synthetic_2024_01.csv,2024-01-01,10:01:00,2024,1,January,10,0,Monday,False
100023,1/1/24 10:54 AM,Beef Pastry,Pastries,Main Menu,Food,6.95,2.0,False,synthetic_2024_01.csv,2024-01-01,10:54:00,2024,1,January,10,0,Monday,False
100024,1/1/24 1:41 PM,Beef Pastry,Pastries,Main Menu,Food,6.95,2.0,False,synthetic_2024_01.csv,2024-01-01,13:41:00,2024,1,January,13,0,Monday,False
100025,1/1/24 11:36 AM,Beef Pastry,Pastries,Main Menu,Food,6.95,1.0,False,synthetic_2024_01.csv,2024-01-01,11:36:00,2024,1,January,11,0,Monday,False
100026,1/1/24 8:07 AM,Beef Pastry,Pastries,Main Menu,Food,6.95,2.0,False,synthetic_2024_01.csv,2024-01-01,08:07:00,2024,1,January,8,0,Monday,False
100027,1/1/24 10:58 AM,Guava Pastry,Pastries,Main Menu,Food,5.22,3.0,False,synthetic_2024_01.csv,2024-01-01,10:58:00,2024,1,January,10,0,Monday,False
100028,1/1/24 10:04 AM,Guava Pastry,Pastries,Main Menu,Food,5.5,2.0,False,synthetic_2024_01.csv,2024-01-01,10:04:00,2024,1,January,10,0,Monday,False
100029,1/1/24 6:27 AM,Guava Pastry,Pastries,Main Menu,Food,5.22,1.0,False,synthetic_2024_01.csv,2024-01-01,06:27:00,2024,1,January,6,0,Monday,False
100030,1/1/24 12:51 PM,Latte,Coffee,Main Menu,Beverage,5.75,2.0,False,synthetic_2024_01.csv,2024-01-01,12:51:00,2024,1,January,12,0,Monday,False
100031,1/1/24 12:08 PM,Latte,Coffee,Main Menu,Beverage,5.75,2.0,False,synthetic_2024_01.csv,2024-01-01,12:08:00,2024,1,January,12,0,Monday,False
100032,1/1/24 1:05 PM,Latte,Coffee,Main Menu,Beverage,5.75,2.0,False,synthetic_2024_01.csv,2024-01-01,13:05:00,2024,1,January,13,0,Monday,False
100033,1/1/24 3:39 PM,Latte,Coffee,Main Menu,Beverage,5.75,2.0,False,synthetic_2024_01.csv,2024-01-01,15:39:00,2024,1,January,15,0,Monday,False
100034,1/1/24 10:35 AM,Latte,Coffee,Main Menu,Beverage,6.04,1.0,False,synthetic_2024_01.csv,2024-01-01,10:35:00,2024,1,January,10,0,Monday,False
100035,1/1/24 8:36 AM,Latte,Coffee,Main Menu,Beverage,5.75,2.0,False,synthetic_2024_01.csv,2024-01-01,08:36:00,2024,1,January,8,0,Monday,False
100036,1/1/24 9:57 AM,Latte,Coffee,Main Menu,Beverage,5.75,1.0,False,synthetic_2024_01.csv,2024-01-01,09:57:00,2024,1,January,9,0,Monday,False
100037,1/1/24 6:40 PM,Latte,Coffee,Main Menu,Beverage,5.75,1.0,False,synthetic_2024_01.csv,2024-01-01,18:40:00,2024,1,January,18,0,Monday,False
100038,1/1/24 6:34 AM,Latte,Coffee,Main Menu,Beverage,6.04,1.0,False,synthetic_2024_01.csv,2024-01-01,06:34:00,2024,1,January,6,0,Monday,False
100039,1/1/24 11:50 AM,Latte,Coffee,Main Menu,Beverage,5.75,1.0,False,synthetic_2024_01.csv,2024-01-01,11:50:00,2024,1,January,11,0,Monday,False
100040,1/1/24 12:49 PM,Latte,Coffee,Main Menu,Beverage,5.75,2.0,False,synthetic_2024_01.csv,2024-01-01,12:49:00,2024,1,January,12,0,Monday,False
100041,1/1/24 12:40 PM,Cappuccino,Coffee,Main Menu,Beverage,5.78,2.0,False,synthetic_2024_01.csv,2024-01-01,12:40:00,2024,1,January,12,0,Monday,False
100042,1/1/24 3:36 PM,Cappuccino,Coffee,Main Menu,Beverage,5.78,3.0,False,synthetic_2024_01.csv,2024-01-01,15:36:00,2024,1,January,15,0,Monday,False
100043,1/1/24 10:02 AM,Cappuccino,Coffee,Main Menu,Beverage,5.5,1.0,False,synthetic_2024_01.csv,2024-01-01,10:02:00,2024,1,January,10,0,Monday,False
100044,1/1/24 3:57 PM,Cappuccino,Coffee,Main Menu,Beverage,5.5,3.0,False,synthetic_2024_01.csv,2024-01-01,15:57:00,2024,1,January,15,0,Monday,False
100045,1/1/24 12:17 PM,Cappuccino,Coffee,Main Menu,Beverage,5.78,2.0,False,synthetic_2024_01.csv,2024-01-01,12:17:00,2024,1,January,12,0,Monday,False
